Date	1852
Country	[Indonesia, Philippines]
Series No	105
Type	Atlas Map
Reference	cf P6120 (1855 edition); Espenhorst H 3.1.
Pub Note	Date estimated. Most of the maps are dated 1852 or 1853. The U.S. maps are dated 1852 and show the formation of California, Utah, and New Mexico in the west. Maps are hand painted with full and outline color.
Pub Width cm	47
Scale 1	11,500,000
Pub Reference	cf P6120 (1855 edition); Espenhorst H 3.1.
Author	[Stieler, Adolf, Stulpnagel, F.v.]
Georeferencer Status	ungeoreferenced
Obj Height cm	33
Image Order	069 batch015
Publisher	Justus Perthes
Pub Title	Hand - Atlas Uber Alle Theile Der Erde nach dem neuesten Zustande Und Uber Das Weltgebaude. Herausgegebenn von Adolf Stieler, berbeitet von Demselben, so wie von F.v. Stulpnagel, H. Berghaus u. I.C. Bar. Gotha bei Justus Perthes. (title page only) gez. v. Bar. gest. v. Edler in Gotha.
Note	Revision of 1846 edition.
Download 2	<a href="https://www.extensis.com/support/geoviewer-9" target="_blank">GeoViewer for JP2 and SID files</a>
Pub Date	1853
Short Title	Die Ostindischen Inseln. (East Indies).
Pub Type	World Atlas
Pub Height cm	38
Authors	Stieler, Adolf; Stulpnagel, F.v.
World Area	East Indies
List No	4973.105
Media item filename	4973105.jpg
Publication Author	Stieler, Adolf
Image No	4973105
Publisher Location	Gotha
Page No	44c
Download 1	<a href=https://www.davidrumsey.com/rumsey/download.pl?image=/D5005/4973105.sid target=_blank>Full Image Download in MrSID Format</a>
Pub List No InitialSort	4973.000_105
Full Title	No. L. Stieler's Hand-Atlas (No. 44c). Die Ostindischen Inseln.
Obj Width cm	43
Pub List No	4973.000
Engraver or Printer	[Berghaus, H., Edler, Bar, J.C.]
Pub Maps	84
Processed Date	null
Processed Date (epoch)	null
CanonicalServerAddress	null
