Date	1819
Country	[Philippines, Indonesia, Thailand, Cambodia]
Series No	49
Type	Atlas Map
Reference	Espenhorst 1.1.2 (this copy is the 4th edition).
Pub Note	This edition of the Geographisches Institute atlas marks an important move away from the 18th century mode of mapmaking towards a style that reflects what we think of today as 19th century German mapmaking - the use of hachures instead of mountains drawn in profile, and a more uniform typography. Date based on newest maps in atlas. Relief shown in hachures.
Pub Width cm	38
Author	[Gaspari, Adam Christian (1752-1830), Reinecke, I.C.M]
Georeferencer Status	ungeoreferenced
Obj Height cm	50
Image Order	.871 batch016
Publisher	Vertage des Geographischen Instituts.
Pub Title	Allgemeiner Hand-Atlas der Ganzen Erde nach den besten astronomischen Bestimmungen, und zu A.C. Gaspari vollstaendigem Handbuche der neuesten Erdbeschreibung bestimmt. Weimar Im Vertage des Geographischen Instituts. (General Hand Atlas of the whole earth for the best astronomical terms, and AC Gaspari complete hand book of the latest geography determined. In Weimar by the Department of Geography.)
Download 2	<a href="https://www.extensis.com/support/geoviewer-9" target="_blank">GeoViewer for JP2 and SID files</a>
Pub Date	1821
Short Title	XLV. East Indies (Eastern Sheet). Philippines, Indonesia, Thailand.
Pub Type	World Atlas
Pub Height cm	57
Authors	Gaspari, Adam Christian (1752-1830); Reinecke, I.C.M
List No	9535.049
Media item filename	9535049.jp2
Publication Author	[Geographisches Institut (Weimar, Germany), Gaspari, Adam Christian (1752-1830)]
Image No	9535049.jp2
Publisher Location	Weimar
Download 1	<a href=https://www.davidrumsey.com/rumsey/download.pl?image=/162/9535049.jp2 target=_blank>Full Image Download in JP2 Format</a>
Pub List No InitialSort	9535.000_049
Full Title	XLV. Charte von Ostindien (Eastern Sheet). (Philippines, Indonesia, Thailand.)
Obj Width cm	45
Pub List No	9535.000
Pub Maps	60
Processed Date	null
Processed Date (epoch)	null
CanonicalServerAddress	null
